['αPer', 149.15, -6.36, 5.65, 15, -12.8, -25.1, -7.1],
['PerOB2', 159.62, -16.77, 3.14, 41, -21.5, -5.5, -9.1],
['Cas-Tauc', 159.95, -12.51, 5.68, 215, -14.1, -19.7, -6.8],
['Pleiades', 166.63, -23.47, 7.69, 15, -6.4, -26.8, -13.6],
['AurOB2', 173.25, -0.18, 0.37, 206, 1.6, -0.2, -11.5],
['NGC1893', 173.58, -1.68, 0.3, 23, -1.5, -41.0, -28.9],
['AurOB1', 173.88, 0.19, 1.69, 120, -1.0, -8.4, -5.6],
['NGC2129', 186.6, 0.14, 0.45, 3, -8.4, -37.0, -7.9],
['GemOB1', 189.0, 2.3, 0.49, 196, -14.5, -16.9, -10.2],
['MonOB1', 202.07, 1.07, 1.74, 125, -19.7, -13.6, -5.3],
['NGC2264', 202.95, 2.2, 1.52, 17, -12.6, -16.2, -6.4],
['MonOB2', 206.23, -1.02, 0.83, 179, -22.1, -4.5, -7.2],
['NGC2244', 206.31, -2.08, 0.69, 16, -26.8, -4.6, -7.8],
['OriOB1', 206.96, -17.53, 2.43, 165, -20.9, -12.1, -6.7],
['λOri', 195.27, -12.1, 2.28, 8, -27.5, -14.4, -8.1],
['NGC1976', 209.01, -19.38, 2.42, 6, -23.2, -16.4, -7.0],
['MonR2d', 213.91, -11.9, 1.2, 7, -11.3, 2.2, -11.1],
['NGC2232', 214.6, -7.41, 2.74, 8, -11.5, -10.7, -9.9],
['MonOB3e', 217.65, -0.43, 0.41, 47, -31.6, -24.4, -0.3],
['CMaOB1', 224.6, -1.5, 0.61, 102, -40.3, -4.6, -21.3],
['IC1848', 229.07, 30.4, 0.5, 24, 3.6, 14.3, -35.3],
['NGC2287', 231.02, -10.45, 1.44, 12, -16.2, -13.0, -18.5],
['NGC2414', 231.41, 1.95, 0.35, 12, -58.9, -39.4, -41.8],
['NGC2367', 235.6, -3.84, 0.5, 12, -73.2, -1.7, -49.7],
['Col121', 237.4, -7.74, 1.29, 115, -37.4, -14.9, -13.9],
['NGC2362', 238.2, -5.58, 0.72, 12, -39.9, -16.2, -5.3],
['PupOB1f', 243.5, 0.13, 0.5, 129, -48.4, -24.1, 5.0],
['NGC2467', 243.16, 0.35, 0.74, 9, -44.9, -40.1, -15.3],
['Col140', 245.18, -7.91, 2.67, 7, -21.2, -13.8, -12.1],
['NGC2439', 245.31, -4.11, 0.77, 8, -21.6, -55.7, -18.8],
['Col135', 248.7, -11.22, 3.33, 12, -18.3, -7.0, -12.7],
['PupOB3b', 253.9, -0.23, 0.69, 29, -53.5, -21.5, -6.6],
['NGC2546', 254.84, -2.06, 1.09, 20, -35.4, -27.5, -11.0],
['VelOB2', 262.41, -7.52, 1.97, 70, -26.3, -19.8, -6.9],
['Tr10', 264.38, 0.47, 2.73, 45, -26.8, -18.5, -8.4],
['VelOB1', 264.88, -1.42, 1.13, 120, -30.2, -20.1, -6.1],
['IC2395', 266.65, -3.58, 1.41, 9, -20.6, -23.6, -7.0],
['IC2391', 270.39, -6.93, 6.67, 7, -23.5, -15.6, -6.3],
['vdB-Hagen99', 286.62, -0.57, 2.0, 6, -27.0, -14.2, -15.1],
['CarOB1', 286.5, -1.49, 0.53, 165, -66.5, -15.0, -8.9],
['IC2581', 284.59, 0.02, 0.41, 15, -87.5, -18.0, -4.5],
